Company,Founded,City,Domain,Description,Founders,Investors,Amount,Stage
KiranaKart,2020,Mumbai,E-Commerce,"['better', 'model', 'instant', 'grocery', 'delivery']","Kaivalya Vohra, Aadit Palicha",Global Founders Capital,720000,Pre-seed
Kissht,2015,Mumbai,FinTech,"['Kissht', 'financial', 'technology', 'platform', 'enables']",Krishnan Viswanathan,"Trifecta Capital, Northern Arc",10000000,Undisclosed
Kissht,2015,Mumbai,Sales ,"['Kissht', 'financial', 'technology', 'platform', 'provides']","Karan Mehta, Krishnan Vishwanathan",Brunei Investment Agency and Endiya Partners,142500000,Unknown
KIWI,2020,New Delhi,Technology,"['peer', 'support', 'network', 'enable', 'billions']","Imran Ladiwala, Mishu Ahluwalia","PointOne Capital, Core91 VC",250000,Seed
Klassroom,2016,Mumbai,EdTech,"['Klassroom', 'offers', 'kind', 'LIVE', 'interactive']",Alka Javeri,ah! Ventures,200000,Pre-series A
Klassroom Edutech,2016,Mumbai,EdTech,"['Klassroom', 'Edutech', 'hybrid', 'tutoring', 'platform']","Alka Javeri, Dhruv Javeri, Dhumil Javeri",StartupLanes and ah! Ventures,1500000,Undisclosed
Klub,2019,Bengaluru,FinTech,"['team', 'fintech', 'investment', 'banking', 'venture']","Anurakt Jain, Ishita Verma",Trifecta Capital,2000000,Debt
Klub,2019,Bengaluru,FinTech,"['Klub', 'founded', 'vision', 'revolutionizing', 'growth']","Anurakt Jain, Ishita Verma","9Unicorns, Sequoia Capital Indias Surge",20000000,Undisclosed
Knackit,2019,Bengaluru,Information Technology,"['Knackit', 'talent', 'sharing', 'platform', 'users']","Pranjal Kumar, Akanksha Bhardwaj",Jyoti Bansal,100000,Undisclosed
Knocksense,2016,Lucknow,Online Media,"['Knocksense', 'local', 'news', 'recommendations', 'platform']","Varul Mayank, Vibhore Mayank","We Founder Circle, Appyhigh, Mumbai Angels",150000,Undisclosed
Knocksense,2016,Lucknow,Media and Entertainment,"['Knocksense', 'owns', 'operates', 'eponymous', 'digital']","Varul Mayank, Vibhore Mayank, Vibhore Mayank","Mumbai Angels, Amitesh Pandey",200000,Undisclosed
Knorish,2016,Gurugram,EdTech,"['platform', 'Saas', 'offers', 'feature', 'packed']","Rakhi Wadhwa, Kinner N Sacchdev","Inflection Point Ventures, Rockstud Capital, Pentathlon Ventures, Prophetic Ventures syndicate",1000000,Pre-series A
Kodo Card,2019,Mumbai,FinTech,"['card', 'Kodo', 'corporate', 'new', 'economy']","Deepti Sanghi, Gaurav Thapa","Brex, Y-Combinator",8000000,Seed
Kofluence,2019,Bengaluru,Marketing & Advertising,"['Kofluence', 'connects', 'Brands', 'Social', 'Media']","Sreeram Reddy Vanga, Ritesh Ujjwal","Kunal Shah, Apoorva Mehta",4000000,Pre-series A
Kogo,2018,New Delhi,Information Technology,"['KOGO', 'unified', 'platform', 'road', 'travel']","Praveer Kochhar, Raj K Gopalakrishnan",MapmyIndia and Rampraveen Swaminathan,1600000,Corporate Round
Kogta Financial,1996,Jaipur,FinTech,"['Finance', 'Kogta', 'Financial', 'Ltd', 'retail']",Radha Krishan Kogta,Multiples,111000000,Series D
Kohbee,2019,Bengaluru,E-Learning,"['online', 'end', 'Kohbee', 'mobile', 'app']","Rohan Sinha, Shashwat Aditya","Ankit Mehrotra, Saurabh Aggarwal",235000,Pre-seed
KoineArth,2018,Bengaluru,Blockchain,"['Koinearth', 'stealth', 'mode', 'startup', 'working']",Praphul Chandra,YourNest,1800000,Pre-series A
Kolo,2020,Singapore,Construction,"['Home', 'Construction', 'App']","Aayush Sharda, Jery Althaf, Pranav Garg, Vivek Mittal",Better Capital and RTP Globa,4600000,Seed
Kolo,2020,Bengaluru,Construction,"['Home', 'construction', 'app', 'finding', 'ideas']","Pranav Garg, Jery Althaf",Better Capital,550000,Pre-seed
Koo,2020,Bengaluru,Content Creation,"['Koo', 'App', 'microblogging', 'platform']","Aprameya Radhakrishna,Mayank Bidawatka","Capsier Venture Partner, Ravi Modi Family Trust, Ashneer Grover, FBC Venture Partners, Adventz Finance",10000000,Undisclosed
Koo,2020,Bengaluru,Blogging,"['Koo', 'App', 'operates', 'microblogging', 'app']","Mayank Bidawatka, Aprameya Radhakrishna","3one4 Capital, Accel",4100000,Series A
Koo,2020,Bengaluru,Social Media,"['Koo', 'App', 'operates', 'microblogging', 'app']","Aprameya Radhakrishna, Mayank Bidawatka","Balaji Srinivasan, Naval Ravikant",30000000,Series B
Koovers,2016,Bengaluru,Automotive,"['Koovers', 'assures', 'workshops', 'spares', 'ease']","Sandeep Begur, Sathianarayanan Premkumar, Vinayak Yadathore",Canbank Venture Capital Fund and JPIN,2500000,Seed
Koparo,2020,New Delhi,Consumer Goods,"['Koparo', 'direct', 'consumer', 'brand', 'addressing']",Simran Khara,"Saama Capital﻿, ﻿Titan Capital﻿, DSG Consumer Partners",700000,Seed
Kredent,2008,Kolkata,EdTech,"['Kredent', 'Academy', 'unique', 'concept', 'financial']","Vineet Patawari, Vivek Bajaj, Vinay Pagaria",Kotak Securities,1000000,Undisclosed
KreditBee,2018,Bengaluru,FinTech,"['KreditBee', 'digital', 'lending', 'platform', 'developed']","Karthikeyan Krishnaswamy, Madhusudan Ekambaram, Wan Hong","Alpine Capital, PremjiInvest",75000000,Seed
KreditBee,2018,Bengaluru,FinTech,"['KreditBee', 'digital', 'lending', 'platform', 'developed']","Karthikeyan Krishnaswamy, Madhusudan Ekambaram, Wan Hong","NewQuest Capital Partners, Motilal Oswal Private Equity",8000000,Undisclosed
KreditBee,2018,Bengaluru,FinTech,"['KreditBee', 'Instant', 'Personal', 'Loan', 'Platform']",Madhusudan Ekambaram,"Premji Invest, Mirae Asset Naver Asia Growth Fund, Alpine Capital",75000000,Series C
Krishify,2019,Gurugram,Social Media,"['Rural', 'social', 'network']","Rajesh Ranjan, Manish Agrawal, Avinash Kumar","Ankur Capital, Omidyar Network India, Orios Venture Partners",6200000,Pre-series A
Kritsnam,2015,Hyderabad,Information Technology,"['Kritsnam', 'Technologies', 'evolved', 'IIT', 'Kanpur']","K Sri Harsha, Prudhvi Sagar, Vinay Chataraju, Neeraj Rai","Ashish Gupta, Kunal Shah, Vikram Karunakaram",800000,Pre-series A
Kuhoo,2021,Mumbai,FinTech,"['Kuhoo', 'student', 'loan', 'fintech', 'NBFC']",Prashant A. Bhonsle,West Bridge,20000000,Seed
Kuku FM,2018,Mumbai,Entertainment,"['audio', 'Kuku', 'FM', 'India', 'leading']","Lal Chand Bisu, Vinod Meena, Vikas Goyal",KRAFTON,20000000,Series B
Kutuki,2017,Bengaluru,EdTech,"['Kutuki', 'learning', 'platform', 'focused', 'children']","Bharath Bevinahally, Sneha Sundaram",Omidyar Network India,2000000,Seed
Kutumb,2020,Bengaluru,Social Network,"['Kutumb', 'social', 'community', 'enabler']","Mohit Sharma, Naveen Dewangan, Vipul Allawadhi","Tiger Global Management, DST Global",26000000,Series A
kWh Bikes,2020,Bengaluru,Automotive,"['Building', 'Indias', 'strongest', 'smartest', 'electric']","Siddharth Janghu, Kartik Gupta, Anupriya","Lets Venture, Better Capital",2000000,Seed
kWh Bikes,2020,Bengaluru,Automotive,"['Building', 'India', 'strongest', 'smartest', 'electric']","Siddharth Janghu, Kartik Gupta, Anupriya","Let's Venture, Better Capital",2000000,Seed
Kyt,2020,Bengaluru,EdTech,"['online', 'global', 'academy', 'extracurricular', 'learning']","Bhavik Rathod, Tripti Ahuja",Alpha Wave Incubation,5000000,Series A
Last9,2020,Santa Clara,Software,"['Last9', 'Site', 'Reliability', 'Engineering', 'platform']","Nishant Modak, Piyush Verma",Better Capital and Sequoia Capital India,13000000,Series A
Lauriko,2021,Hyderabad,Healthcare,"['Lauriko', 'Manufacture', 'food', 'products', 'beverages']",Lavanya Sunkari,Lakshmikant PB and Murthy Aradhi,37000000,Undisclosed
Lead School,2012,Mumbai,EdTech,"['LEAD', 'School', 'offers', 'technology', 'based']","Smita Deorah, Sumeet Mehta","GSV Ventures, Westbridge Capital",30000000,Series D
LEAD School,2012,Mumbai,EdTech,"['LEAD', 'fastest', 'growing', 'School', 'Ed']","Sumeet Yashpal Mehta, Smita Deorah",WestBridge Capital,100000000,Undisclosed
Leaf Round,2022,Bengaluru,FinTech,"['Leaf', 'Round', 'marketplace', 'leasing', 'provides']","Nishchay Nath, Soumya Kushwaha",Super Capital,300000,Preseed
Leap Finance,2019,Bengaluru,FinTech,"['International', 'education', 'loans', 'high', 'potential']","Arnav Kumar, Vaibhav Singh",Owl Ventures,55000000,Series C
Leap Finance,2019,Bengaluru,FinTech,"['Leap', 'Finance', 'fintech', 'startup', 'Indian']",Vaibhav Singh,Jungle Ventures,17000000,Series B
Leap India,2013,Mumbai,Logistics,"['Leading', 'Enterprise', 'Asset', 'Pooling', 'India']",Anurag Malempati,CDC Group,10000000,Undisclosed
leap.club,2014,Gurugram,Social Network,"['community', 'led', 'professional', 'network', 'women']","Ragini Das, Anand Sinha","Enzia Ventures, Kunal Shah",810000,Pre-Series A
Leena AI,2015,Gurugram,Computer Software,"['AI', 'help', 'enterprises', 'transform', 'employee']","Mayank Goyal, Anand Prajapati",Bessemer Venture Partners,30000000,Series B
Legalwiz.in ,2015,Ahmedabad,LegalTech,"['LegalWiz.in', 'committed', 'provide', 'high', 'quality']","Shrijay Sheth, Gaurav Barot",ContCentric,500000,Undisclosed
Legitquest,2017,New Delhi,LegalTech,"['legal', 'LegitQuest', 'tech', 'company', 'operates']","Himanshu Puri, Karan Kalia, Rohit Shukla","WaterBridge Ventures, Info Edge",600000,Undisclosed
LenDenClub,2015,Mumbai,FinTech,"['P2P', 'lending', 'platform', 'delivering', 'high']","Bhavin Patel, Dipesh Karki","Tuscan Ventures, Ohm Stock Brokers, Artha Venture Fund",10000000,Series A
Lendingkart,2014,Ahmedabad,FinTech,"['Lendingkart', 'Group', 'aims', 'working', 'capital']","Harshvardhan Lunia, Mukul Sachan",BlueOrchard Finance,5900000,Undisclosed
Lendingkart,1999,Gujarat,FinTech,"['Lendingkart', 'online', 'financing', 'company', 'dedicated']","Harshvardhan Lunia, Mukul Sachan","Bertelsmann India Investments, Fullerton Financial Holdings",15000000,Debt
Lenskart,2008,Faridabad,Eyewear,"['eyewear', 'company', 'India', 'fastest', 'growing']",Peyush Bansal,"Temasek, Falcon Edge",220000000,Undisclosed
Lenskart,2010,"Faridabad, Haryana",Fashion ,"['Lenskart', 'India', 'based', 'online', 'shopping']","Amit Chaudhary, Peyush Bansal","Kohlberg Kravis Roberts, Temasek Holdings",95000000,Undisclosed
Lenskart,2010,Faridabad,E-Commerce,"['Lenskart', 'India', 'based', 'online', 'shopping']","Amit Chaudhary, Peyush Bansal",Multiples,899300000,Undisclosed
Lenskart,2010,Faridabad,Eyewear,"['Lenskart', 'India', 'based', 'online', 'shopping']","Amit Chaudhary, Peyush Bansal, Peyush Bansal, Ramneek Khurana, Sumeet Kapahi",Schroder Adveq and Temasek Holdings,927500000,Series I
Lentra,2018,Pune,Information Technology,"['Lentra', 'provides', 'secure', 'technology', 'platform']",Ankur Handa,Bessemer Venture Partners and Citi Ventures,7100000,SeriesB
LetsDressUp,2019,Gurugram,Apparel & Fashion,"['Building', 'India', 'version', 'Stitch', 'Fix']",Aditya B,"Titan Capital, Sequoia Capital",300000,Pre-series A
Leverage Edu,2017,New Delhi,EdTech,"['AI', 'enabled', 'marketplace', 'designed', 'help']",Akshay Chaturvedi,"Trifecta Capital Advisors, Blume Ventures",2000000,Debt
Leverage Edu,2017,New Delhi,Higher Education,"['abroad', 'Leading', 'study', 'platform', 'helping']",Akshay Chaturvedi,"Kaizenvest Private Equity, DSP Mutual Fund Group, Artha Ventures",22000000,Series B
Liberate Foods,2020,Bengaluru,Food & Beverages,"['Liberate', 'Foods', 'food', 'tech', 'startup']",Anoop Haridasan,Blue Horizon Corporation and Panthera Peak,200000,Seed
Licious,2015,Bengaluru,Food & Beverages,"['company', 'built', 'vision', 'emerge', 'India']","Vivek Gupta, Abhay Hanjura","Amansa Capital, Kotak PE, Axis Growth Avenues AIF",150000000,Series F2
Licious,2015,Bengaluru,Food & Beverages,"['meat', 'Licious', 'consumer', 'food', 'company']","Abhay Hanjura, Vivek Gupta","Temasek, Multiples PE",192000000,Series F
Licious,2015,Bengaluru,Food & Beverages,"['end', 'Licious', 'online', 'meat', 'seafood']","Abhay Hanjura, Varun Sadana, Vivek Gupta",Multiples,488700000,Undisclosed
Lido Learning,2019,Mumbai,E-Learning,"['classroom', 'LIDO', ' ', 'ed', 'tech']",Sahil Sheth,Unilazer Ventures,10000000,Undisclosed
Life & Pursuits,2016,Noida,Healthcare,"['Life', 'Pursuits', 'Ayurveda', 'beauty', 'wellness']","Mudit Consul, Aditi Consul, Manshu Aneja, Mani Agarwal","Pankaj Agrawal, Supermorpheus and Eagle10 Ventures",500000,Undisclosed
LifeCell,2004,Chennai,Biotechnology,"['building', 'block', 'team', 'preserves', 'blocks']",S. Abhaya Kumar,Orbimed Asia Partners,30000000,Undisclosed
LILA Games,2020,Bengaluru,Entertainment,"['Making', 'innovative', 'F2P', 'Shooter', 'Game']","Joseph Kim, Paul Leydon, Avinash Pandey",Rainfall Ventures,10000000,Series A
Limechat,2020,Faridabad,Software,"['Limechat', 'provides', 'personalised', 'shopping', 'experience']","Aniket Bajpai, Nikhil Gupta",Pi Ventures and Stellaris Venture Partners,5000000,Seed
LimeChat,2020,"Faridabad, Haryana",Artificial Intelligence,"['Limechat', 'provides', 'personalised', 'shopping', 'experience']","Aniket Bajpai, Nikhil Gupta","Stellaris Venture Partners, Ramakant Sharma",7500000,Seed
Liminal,2021,Singapore,Information Technology,"['Digital', 'asset', 'self', 'custody', 'wallet']",Mahin Gupta,Nexus Ventures and Vauld,36100000,Undisclosed
Lio,2020,Pune,Computer Software,"['records', 'Lio', 'app', 'data', 'create']",Anupam Vijayvergia,"Lightspeed, Sequioa",5000000,Seed
Liquide,2021,Bengaluru,Trading Platform,"['Liquide', 'demand', 'investment', 'advisory', 'platform']",Kunal Ambasta,Ruchi Kalra and Sandeep Singh,2200000,Seed
Little Leap,2020,New Delhi,EdTech,"['Soft', 'Skills', 'Smart', 'Leaders']",Vishal Gupta, ah! Ventures ,300000,Undisclosed
LivFin,2017,Gurugram,FinTech,"['LIVFIN', 'Non', 'Banking', 'Finance', 'Company']",Rakesh Malhotra,BlackSoil,2000000,Undisclosed
LivQuik Technology,2012,Mumbai,FinTech,"['LivQuik', 'vision', 'enable', 'efficient', 'movement']",Mohit Lalvani,M2P Fintech,4000000,Undisclosed
Livspace,2015,Bengaluru,Interior Design,"['interior', 'Livspace', 'trusted', 'design', 'marketplace']","Anuj Srivastava, Ramakant Sharma","Ingka Group Investments, Jungle Ventures, Venturi Partners, Peugeot Investments",180000000,Series F
Livspace,2014,Bengaluru,E-Commerce,"['Livspace', 'interior', 'design', 'startup', 'offers']","Anuj Srivastava, Ramakant Sharma, Shagufta Anurag",Jungle Ventures and Peugeot SA,4316,Series F
Livve Homes,2017,Bengaluru,Rental,"['India', 'homegrown', 'online', 'portal', 'championing']",Maya Lakshman,Angel investors,5000000,Undisclosed
LoadShare,2017,Bengaluru,Logistics,"['logistics', 'LoadShare', 'India', 'fastest', 'growing']","Raghuram Talluri, Pramod Nair",Tiger Global,40000000,Series C
Lobb,2015,Bengaluru,Transportation,"['Lobb', 'new', 'way', 'match', 'logistics']","Jayaram Raju, Venu Kondur","3one4 Capital, Srinath Ramakkrushnan",1100000,Pre-series A
Locale.ai,2019,Bengaluru,Location Analytics,"['Location', 'Analytics', 'Companies', 'Moving', 'Assets']","Rishabh Jain, Aditi Sinha","Chiratae Ventures, Better Capital",1000000,Undisclosed
Loco,2018,Bengaluru,Entertainment,"['Loco', 'India', 'leading', 'live', 'game']","Anirudh Pandita, Ashwin Suresh",Hashed,40000000,Series A
Loco,2018,Bengaluru,Gaming,"['Loco', 'India', 'leading', 'live', 'game']","Anirudh Pandita, Ashwin Suresh","Krafton, Lumikai",9000000,Seed
Locobuzz,2011,Mumbai,Analytics,"['LocoBuzz', 'analytics', 'based', 'integrated', 'marketing']",Vishal Agrawal,Yuj Ventures,4000000,Series A
Locofast,2019,New Delhi,Textiles,"['Locofast', 'fastest', 'growing', 'B2B', 'textile']","Deepak, Mohit Piplani","Chiratae, Stellaris",15000000,Series A
Locus,2015,Bengaluru,Logistics,"['Locus', 'intelligent', 'decision', 'making', 'automation']","Geet Garg, Nishith Rastogi","Blume Ventures, Exfinity Venture Partners",50000000,Series C
Log 9 Materials,2014,Bengaluru,DeepTech,"['Log9', 'Materials', 'mission', 'global', 'energy']","Akshay Singhal, Kartik Hajela",Amara Raja Batteries,8500000,Series A+
Log 9 Materials,2014,Bengaluru,Nanotechnology,"['Log9', 'Materials', 'mission', 'global', 'energy']",Akshay Singhal,Petronas Ventures,2000000,Undisclosed
Logibricks,2017,Pune,Computer Software,"['Logibricks', 'SaaS', 'platform', 'helps', 'online']","Ameya Shah, Karan Kabra, Shereef Mohammed",Shiprocket,1500000,Undisclosed
Logically,2017,Mysuru,Information Technology,"['Logically', 'combines', 'advanced', 'AI', 'human']",Lyric Jain,Vitruvian Partners,24000000,Undisclosed
Lohum,2017,Noida,Electrical Vehicle,"['lithium', 'ion', 'battery', 'Lohum', 'manufactures']",Rajat Verma,"Baring Private Equity Partners India, Talbros",7000000,Undisclosed
Loop Health,2018,Pune,Healthcare,"['India', 'health', 'insurance', 'unlimited', 'primary']","Amrit Singh, Mayank Kale","Elevation, General Catalyst",12000000,Undisclosed
LoveLocal,2015,Mumbai,Retail,"['LoveLocal', 'known', 'm.', 'Paani', 'bringing']",Akanksha Hazari,Vulcan Capital,18000000,Pre-series B
Lucidity,2021,Bengaluru,Information Technology,"['possible', 'Lucidity', 'provides', 'cloud', 'storage']",Nitin Singh Vatsal Rastogi,Sparrow Capital and BEENEXT,5600000,Seed
Lumiq,2013,Noida,Information Technology,"['Help', 'enterprises', 'monetize', 'data', 'reinvent']",Shoaib Mohammad,Info Edge Ventures,2000000,Seed
Lummo,2019,Bengaluru,Software,"['Lummo', 'exists', 'entrepreneurs', 'filled', 'motivation']",Krishnan Menon,Jeff Bezos,80000000,Series C
Lummo,2019,Bengaluru,Entreprenurship,"['Empower', 'SEA', 'entrepreneurs', 'grow', 'business']","Krishnan, Lorenzo Peracchione","Tiger Global, Sequoia Capital India",80000000,Series C
Lysto,2021,Bengaluru,FinTech,"['Lysto', 'builds', 'tools', 'standardise', 'showcase']",Sadiq Ahamed,. Better Capital and BEENEXT,1200000,Seed
Lysto,2021,Bengaluru,NFT,"['Lysto', 'building', 'APIs', 'Tools', 'Infrastructure']",Sadiq Ahamed,BEENEXT,3000000,Seed
M1xchange,2017,Gurugram,FinTech,"['M1', 'online', 'exchange', 'TReDS', 'set']",Sundeep Mohindru,Amazon,10000000,Undisclosed
M2P Fintech,2015,Chennai,FinTech,"['M2P', 'fintech', 'born', 'need', 'build']",Madhusudanan R,Tiger Global,35000000,Series C
Mabel,2022,Bengaluru,Jewellery,"['Mabel', 'stop', 'jewelry', 'shopping', 'platform']",Abhas Gupta,. Incubate Fund India and Whiteboard Capital,15000000,Seed
Magenta EV,2017,Mumbai,Environment,"['Magenta', 'business', 'Enabling', 'electric', 'mobility']","Maxson Lewis, Darryl Dias","JITO Angel Network, LetsVenture",15000000,Series A
Mahindra Logistics,2000,Mumbai,Logistics,"['Supply', 'chain', 'management', 'corporate', 'people']","J C Mahindra, K C Mahindra",Birla Sun Life Insurance and HDFC Trustee,2500000000,Undisclosed
Mailmodo,2020,Bengaluru,Marketing & Advertising,"['email', 'Mailmodo', 'complete', 'marketing', 'solution']","Aquibur Rahman, Apurv Gupta, Devyesh Tandon","Sequoias Surge, Y Combinator",2000000,Seed
Mailmodo,2020,Bengaluru,Marketing & Advertising,"['email', 'Mailmodo', 'complete', 'marketing', 'solution']","Aquibur Rahman, Apurv Gupta, Devyesh Tandon","Sequoia's Surge, Y Combinator",2000000,Seed
Makers Hive,2018,Hyderabad,Technology,"['Makers', 'Hive', 'possible', 'bring', 'people']",Pranav Vempati,"Starfish Growth Partners, Investpad",9000000,Undisclosed
Mamaearth,2016,Gurugram,Healthcare,"['Baby', 'mother', 'care', 'brand']","Ghazal, Varun Alagh",Sequoia,37000000,Undisclosed
Mamaearth,2016,Gurugram,Healthcare,"['Mamaearth', 'personal', 'care', 'brand', 'specializes']","Ghazal Alagh, Varun Alagh",Evolvence India Fund and Sofina,110800000,Unknown
Mamaearth,2016,Gurugram,Healthcare,"['Making', 'products', 'mum', 'baby', 'friendly']",Varun Alagh,Sequoia,52000000,Undisclosed
Mamaearth,2016,Gurugram,Healthcare,"['brand', 'develops', 'products', 'world', 'class']","Varun Alagh, Ghazal Alagh",Sofina Ventures SA,50000000,Undisclosed
Manch Technologies,2017,Bengaluru,Information Technology,"['Single', 'Click', 'Work', 'Flow', 'E']",Suresh Anantpurkar,Bharat Inclusion,1000000,Pre-series A
Mango Point,2018,Chennai,Food & Beverages,"['Natural', 'Healthy', 'Fresh', 'Mangoes', 'Mango']","Manjula Gandhi Rooban, Prasanna Venkatarathnam","The Chennai Angels, Native Angel Network, Keiretsu Chennai",200000,Undisclosed
MarketWolf,2017,Mumbai,FinTech,"['MarketWolf', 'provides', 'opportunity', 'begin', 'trading']","Vishesh Dhingra, Thomas Joseph","Anil Thadani, Ashutosh Sinha, Roy van Leeuwen",5500000,Seed
Marquee Equity,2016,Mumbai,FinTech,"['World', '1', 'Fundraising', 'Service', 'Investor']",Ash Narain,"Capital One, Arrowroot Capital",3800000,Undisclosed
Masai School,2019,Bengaluru,EdTech,"['Masai', 'School', 'job', 'oriented', 'software']",Prateek Shukla,"Unitus Ventures, Omidyar Network India",5000000,Series A
MasterChow,2020,New Delhi,Food Processing,"['MasterChow', 'ready', 'cook', 'Asian', 'cuisine']","Sidhanth Madan, Vidur Kataria",Fluid Ventures and Anicut Capital,1800000,Undisclosed
MasterChow,2020,Hauz Khas,Food & Beverages,"['ready', 'cook', 'Asian', 'cuisine', 'brand']","Vidur Kataria, Sidhanth Madan",WEH Ventures,461000,Seed
MatchLog,2019,Mumbai,Logistics,"['Multi', 'Modal', 'Marketplace', 'Power', 'Triangulation']",Dhruv Taneja,"Blue Ashva Capital, Rainmatter Climate, Capital-A",3000000,Pre-series
Max Healthcare,2000,New Delhi,Healthcare,"['Max', 'Healthcare', 'leading', 'chain', 'hospitals']",Analjit Singh,"Radiant Life Care Private Ltd, Life Healthcare",140000000,Undisclosed
Maya,2016,Bengaluru,Healthcare,"['Maya', 'enables', 'women', 'track', 'health']",John Paul,Rajan Anadan,2200000,Seed
Meddo,2018,Gurugram,Healthcare,"['end', 'Meddo', 'medical', 'services', 'provider']",Saurabh Kochhar,"growX ventures, Venture Gurukool",3000000,Pre-series A
Meddo,2018,Gurgaon,Healthcare,"['end', 'Meddo', 'medical', 'services', 'provider']",Saurabh Kochhar,"growX ventures, Venture Gurukool",3000000,Pre-series A
Meddo,2018,Gurugram,Healthcare,"['Meddo', 'Arctern', 'Healthcare', 'defining', 'primary']","Saurabh Kochhar, Dr Naveen Nishchal","SRI Capital, Picus Capital, Alkemi Capital",6000000,Undisclosed
MediBuddy,2000,Bengaluru,EdTech,"['MediBuddy', 'digital', 'healthcare', 'platform', 'inpatient']",Satish Kannan,"InnoVen Capital, TEAMFund",3000000,Debt
MediBuddy,2000,Bengaluru,Healthcare,"['MediBuddy', 'Trusted', 'Digital', 'Platform', 'Cashless']","atish Kannan, Enbasekar","IDFC Private Equity, Bessemer Venture Partners",40000000,Series B
MediBuddy,2000,Bengaluru,Healthcare,"['MediBuddy', 'digital', 'healthcare', 'platform', 'inpatient']","Satish Kannan, Enbasekar","Stride Ventures, InnoVen Capital",3000000,Undisclosed
MediBuddy,2002,Bengaluru,Healthcare,"['MediBuddy', 'India', 'Largest', 'Trusted', 'Digital']","Satish Kannan, Enbasekar","Quadria Capital, Lightrock India",125000000,Series C
Medikabazaar,2014,Mumbai,Healthcare,"['Medikabazaar', 'India', 'pioneering', 'largest', 'online']","Vivek Tiwari, Ketan Malkan","CDC Group, Creaegis",75000000,Series C
Medisage,2019,Mumbai,Healthcare,"['Medisage', 'Connect', 'Global', 'doctors', 'watch']","Bhagwat Dhingra, Abhishek Ghosh",Bessemer Venture Partners and Siddharth Sikchi,530000000,Undisclosed
MedisimVR,2017,Chennai,Healthcare,"['MediSim', 'VR', 'established', 'comprehensive', 'Virtual']","Sabarish Chandrasekaran, Adith Chinnaswami",Inflection Point Ventures,400000,Pre-series A
MedPay,2020,Bengaluru,Information Technology,"['MedPay', '®', 'building', 'real', 'time']","Arun Bhatia, Ravi Chandra","Entrepreneur First (EF), GrowX Ventures",1200000,Seed
Medpho,2021,Noida,Healthcare,"['Medpho', 'healthcare', 'service', 'provider', 'India']",Shashank Saini,"Cygnus Medicare Group, Probal Ghoshal, Shuchin Bajaj",1000000,Undisclosed
Meesho,2015,Bengaluru,Online shopping,"['Meesho', 'operates', 'online', 'reselling', 'platform']","Sanjeev Barnwal, Vidit Aatrey",Multiples,1100000000,Undisclosed
Meesho,2015,Bengaluru,E-Commerce,"['Meesho', 'operates', 'online', 'reselling', 'platform']","Sanjeev Barnwal, Vidit Aatrey","SAIF Partners, Venture Highway",300000000,Undisclosed
Meesho,2015,Bengaluru,Social commerce,"['Meesho', 'Indias', 'largest', 'marketplace', 'longtail']","Sanjeev Barnwal, Vidit Aatrey","Fidelity, B Capital",570000000,Undisclosed
Melorra,2015,Bengaluru,D2C ,"['company', 'styles', 'jewellery', 'contemporary', 'wardrobe']",Saroja Yeramili,"9Unicorns, Symphony International Holdings Limited, Value Quest",24000000,Undisclosed
Mensa,2021,Bengaluru,D2C,"['Mensa', 'scales', 'brands', 'leveraging', 'expertise']",Ananth Narayanan,"Alpha Wave Ventures, Falcon Edge Capital",135000000,Series B
Mensa Brands,2021,Bengaluru,Fashion,"['Mensa', 'scales', 'brands', 'leveraging', 'expertise']",Ananth Narayanan,"Accel Partners, Falcon Edge Capital, Norwest Venture Partners",50000000,Series A
Mentor Match,2020,Chennai,E-Learning,"['1', 'Mentor', 'Match', 'self', 'study']","Rohit Raheja, Rayhaan Shaik, Sachit Duga",Sapient Fund,1000000,Pre-seed
Mentoria,2015,Mumbai,EdTech,"['Mentoria', 'holistic', 'career', 'discovery', 'platform']","Ashish Arora, Nikhar Arora, Sameer Bhakhri","Pradeep K Jaisingh, Jayant Mehrotra",200000,Pre-series A
MentorKart,2018,New Delhi,Consulting,"['MentorKart', '™', 'helps', 'fulfil', 'dreams']","Ashish Khare, SK Mohanty","Amit Singal, Manish Aggarwal",150000,Seed
Mentza,2020,Mumbai,E-Learning,"['great', 'conversations', 'accessible', 'vibrant', 'small']","Anurag Vaish, Tapasi Mittal, Fareesh Vijayarangam, Anand Parameswaran, Divya Balakrishnan",Inflection Point Ventures,400000,Seed
MergerDomo,2018,New Delhi,Investment Banking,"['MergerDomo', 'stop', 'Global', 'OnLine', 'M&A']",Hormazd Charna,Nadir B Godrej,500000,Undisclosed
Mesh,2020,San Jose,Enterprise Software,"['Mesh', 'social', 'performance', 'management', 'platform']","Gaurav Chaubey, Rahul Singh, Saurabh Nangia",Ankit Nagori and Sumon Sadhu,16100000,Series A
Mestastop Solutions,2018,Bengaluru,Biotechnology,"['Mestastop', 'aims', 'provide', 'solution', 'challenges']",Dr Arnab Roy Chowdhury,CIIE.CO,100000,Undisclosed
Metadome,2017,Bengaluru,Computer Software,"['Metadome', 'Adloid', 'Metaverse', 'provides', 'code']","Kanav Singla, Prashant Sinha, Shorya Mahajan","Chiratae Ventures, Lenskart Vision Fund",4000000,Pre-series A
